age_sex_id,age_sex_name,age,sex
VZrxjCi8cQi,"Female (0-4)",0-4,female
rCzvys285kN,"Male (0-4)",0-4,male
fHgwVjoElmE,"Female (5+)",5+,female
ZgnHXnu30cI,"Male (5+)",5+,male
wDiX34aiw6i,"0-28Dys, Female",0-28Dys,female
zh2zAaHyYQx,"0-28Dys, Male",0-28Dys,male
u3CkZqMHfHP,"10-19Yrs, Female",10-19,female
c7gvocRdg0f,"10-19Yrs, Male",10-19,male
XVHTeecEOM3,"20+Yrs, Female",20+,female
dCKzhhINakS,"20+Yrs, Male",20+,male
huBy3W5qiD2,"29Dys-4Yrs, Female",29Dys-4Yrs,female
V2OuNTRI6ua,"29Dys-4Yrs, Male",29Dys-4Yrs,male
Crc5reUlspd,"5-9Yrs, Female",5-9,female
F1rms8f9I9a,"5-9Yrs, Male",5-9,male
